"cc.raw","pyro.raw","patch.raw","precc.raw","elev.raw","lat.raw","whrtype","fir.raw"
15.84,5.28,0,10.78125,1504.818,41.721158752,"OTH",0.439375
48.85,5.38,42.43,9.4,1502.645,41.723400726,"NFR",0
43.57,5.24,30,2.5625,1495.536,41.725789291,"NFR",0
25.5,4.74,0,6.371428571,1493.179,41.727996644,"NFR",0
74.71,4.38,84.85,7.2,1492.545,41.73019155,"NFR",0.0142857142857143
35.7,3.27,0,6.057142857,1489.005,41.73242371,"NFR",0
22.83,2.1,0,1.314285714,1490.114,41.734583057,"NFR",0
3.74,2.57,0,0.15625,1491.581,41.73435494,"NFR",0
30.22,2.45,30,1.4375,1498.076,41.73354598,"NFR",0
37.24,2.56,42.43,5.685714286,1502.1,41.733186801,"NFR",0
65.89,2.93,67.08,10.37142857,1511.473,41.718701579,"NFR",0.0331428571428571
99.94,1.79,192.09,18.40540541,1515.817,41.716565373,"NFR",0
97.47,1.4,335.41,14.08571429,1517.986,41.714309912,"NFR",0.0977142857142857
93.91,1.76,127.28,17.64864865,1522.327,41.711962851,"NFR",0.345675675675676
80.97,3.54,120,16,1532.535,41.709711643,"NFR",0.153714285714286
71.08,3.28,30,10.48648649,1528.267,41.710216131,"NFR",0.253783783783784
99.44,2.29,270,10.71875,1526.201,41.711653334,"NFR",0.0553125
100,1.37,335.41,11.31428571,1517.876,41.714355341,"NFR",0.0514285714285714
86.19,1.98,67.08,6.485714286,1513.468,41.716623441,"NFR",0
77.81,3.52,42.43,16.42857143,1508.524,41.718444377,"NFR",0.518571428571429
0,1,0,24.09375,1317.605,41.466707593,"EPN",0.19
0,1,0,28.8,1318.293,41.464494894,"EPN",0.662285714285714
0,1,0,49.41666667,1321.389,41.462133712,"EPN",1.74833333333333
0,1,0,38.11428571,1323.015,41.460622568,"EPN",0.969428571428571
0,1.01,0,31.69444444,1324.804,41.458805702,"EPN",0.445555555555556
0,1,0,38.51428571,1325.304,41.457199199,"EPN",0.755142857142857
0.06,1.07,0,31.28125,1327.564,41.457784053,"EPN",0.05625
0,1.23,0,29.54285714,1329.081,41.457122293,"EPN",0.159714285714286
0.95,1.33,0,20.22857143,1329.683,41.456218524,"EPN",0.296
14.7,1.29,0,15.75,1337.316,41.455565794,"EPN",0
0,1,0,53.4,1319.313,41.466049945,"EPN",0.724857142857143
0,1.01,0,49.24324324,1325.805,41.466200342,"EPN",0.882702702702703
0,1.04,0,38.47222222,1332.056,41.466649107,"EPN",0.228055555555556
0,1.02,0,37.42857143,1337.14,41.467531621,"EPN",0.262571428571429
0,1.33,0,60.51428571,1343.347,41.469928689,"PPN",2.31085714285714
0,1.21,0,60.13888889,1348.405,41.471370008,"PPN",6.03722222222222
45.14,1.62,60,17.38888889,1324.41,41.473588948,"NFR",0.154444444444444
90.26,2.7,67.08,31.78125,1319.462,41.474135046,"NFR",0.29125
94.59,3.29,212.13,24.76470588,1314.263,41.474506542,"NFR",0
96.91,3.54,241.87,20.78787879,1311.714,41.473603328,"NFR",0
1.37,1.66,0,34.63888889,1311.084,41.470968561,"EPN",1.15333333333333
100,1.32,284.6,19.86111111,2169.362,37.551709245,"NFR",0
84.43,2,67.08,24.11428571,2169.048,37.553267937,"NFR",0
100,1.06,474.34,12.7027027,2175.116,37.549962886,"NFR",0
99.89,1.1,636.4,28.81081081,2196.821,37.547942843,"NFR",0
99.94,1.13,607.45,33.22222222,2216.413,37.546240113,"NFR",0
99.47,1.19,513.52,41.48571429,2236.849,37.544552301,"NFR",0
